Name,Primary,Promotions,Spam,Total Emails
League of Women Voters of Missouri,1.0,0.0,0.0,1
Center for Education Reform,1.0,0.0,0.0,1
American Enterprise Institute,0.9868,0.0132,0.0,76
Claremont Institute,0.8235,0.1765,0.0,17
DSA,0.75,0.0,0.25,4
Free State Project,0.5,0.25,0.25,4
Avaaz,0.4,0.12,0.48,25
Jefferson Movement,0.4,0.0,0.6,10
Open Markets Institute,0.3333,0.6667,0.0,15
Heritage Foundation,0.1961,0.0196,0.7843,51
NORML,0.1923,0.1154,0.6923,26
Extinction Rebellion,0.1667,0.125,0.7083,24
Cato Institute,0.1607,0.0,0.8393,56
John Birch Society,0.1429,0.0,0.8571,21
United We Dream,0.1429,0.7143,0.1429,7
SumOfUs,0.0976,0.9024,0.0,41
American Family Association,0.0959,0.7671,0.137,73
Demand Progress,0.0769,0.5385,0.3846,13
Change.org,0.0385,0.8462,0.1154,26
American Cancer Society,0.037,0.3333,0.6296,27
Center on Budget and Policy Priorities,0.0312,0.2812,0.6875,32
Tea Party Patriots,0.0244,0.4146,0.561,41
Indivisible,0.013,0.6494,0.3377,77
R Street,0.0101,0.6364,0.3535,99
DNC,0.0,0.3706,0.6294,170
EMILY's List,0.0,0.7105,0.2895,114
Democracy for America,0.0,0.6023,0.3977,88
MoveOn.org,0.0,0.75,0.25,80
Sierra Club,0.0,0.75,0.25,64
Color of Change,0.0,0.7742,0.2258,62
Social Security Works,0.0,0.6557,0.3443,61
NARAL,0.0,0.6949,0.3051,59
ACLU,0.0,0.9636,0.0364,55
End Border Crisis Now,0.0,0.0,1.0,55
DCCC,0.0,0.0741,0.9259,54
Amnesty International USA,0.0,0.0,1.0,53
CREDO Action,0.0,0.7273,0.2727,44
Jay Inslee,0.0,0.0789,0.9211,38
Planned Parenthood,0.0,0.2812,0.7188,32
Courage Campaign,0.0,0.1304,0.8696,23
Young Americans for Liberty,0.0,0.5,0.5,12
Swing Left,0.0,1.0,0.0,8
NOW,0.0,1.0,0.0,7
Presente.org,0.0,0.0,1.0,7
Center for American Progress,0.0,1.0,0.0,3
NRSC,0.0,0.3333,0.6667,3
National Right to Life,0.0,0.5,0.5,2
League of Conservation Voters,0.0,0.0,1.0,2
Lincoln Network,0.0,1.0,0.0,1
Citizens United,0.0,0.0,1.0,1
